rating,date,variation,verified_reviews,feedback,cleaned_reviews,sentiments,compound,sentiment_type
4,30-Jul-18,Sandstone Fabric ,"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)",1,liked original echo shorter greater fabriccolor choices miss volume ring top plusminus buttons big deal ring w comforting well like use standard usb charger port instead previous round pin guess sounds seems work still answers alexaechocomputer whats like,"{'neg': 0.033, 'neu': 0.574, 'pos': 0.393, 'compound': 0.9393}",0.9393,positive
5,30-Jul-18,Charcoal Fabric ,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,1,love echo good music sounds playing alexa understands commands difficult times find specific playlists songs spotify good amazon music lacking major programs,"{'neg': 0.078, 'neu': 0.5, 'pos': 0.422, 'compound': 0.875}",0.875,positive
5,30-Jul-18,Charcoal Fabric ,"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.",1,love alexa use play music play radio itunes play podcasts anypod set reminders listen flash briefing news weather every morning rely custom lists like able voice control volume sure well continue find new usessometimes bit frustrating alexa doesnt understand saying,"{'neg': 0.055, 'neu': 0.602, 'pos': 0.344, 'compound': 0.9246}",0.9246,positive
4,30-Jul-18,Heather Gray Fabric ,"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",1,set days still adding smart home devices speaker great playing music like size stationed kitchen counter intrusive look,"{'neg': 0.0, 'neu': 0.558, 'pos': 0.442, 'compound': 0.8779}",0.8779,positive
5,30-Jul-18,Charcoal Fabric ,I love it. It plays my sleep sounds immediately when I ask,1,love plays sleep sounds immediately ask,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.7351}",0.7351,positive
3,30-Jul-18,Sandstone Fabric ,"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.",1,got second unit bedroom expecting sounds improved didnt really see difference overall big improvement st generation,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.7269}",0.7269,positive
5,30-Jul-18,Sandstone Fabric ,Amazing product,1,amazing product,"{'neg': 0.0, 'neu': 0.208, 'pos': 0.792, 'compound': 0.5859}",0.5859,positive
5,30-Jul-18,Charcoal Fabric ,"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.",1,love echo easy operate loads funit everything advertised use mainly play favorite tunes test alexas knowledge,"{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.91}",0.91,positive
5,30-Jul-18,Charcoal Fabric ,Sounds great!! Love them!,1,sounds great love,"{'neg': 0.0, 'neu': 0.108, 'pos': 0.892, 'compound': 0.8519}",0.8519,positive
4,30-Jul-18,Charcoal Fabric ,"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.",1,fun item play get used using sometimes hard time answering questions ask think better,"{'neg': 0.07, 'neu': 0.5, 'pos': 0.43, 'compound': 0.802}",0.802,positive
5,30-Jul-18,Charcoal Fabric ,Just like the other one,1,like one,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612,positive
5,30-Jul-18,Sandstone Fabric ,Still learning all the capabilities...but so far pretty pretty pretty good,1,still learning capabilitiesbut far pretty pretty pretty good,"{'neg': 0.0, 'neu': 0.242, 'pos': 0.758, 'compound': 0.91}",0.91,positive
4,30-Jul-18,Charcoal Fabric ,I like it,1,like,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,positive
5,30-Jul-18,Sandstone Fabric ,"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great",1,works well needs learning command unique owners users like alexa learn tashas birthday alexa learn definition fine etc great,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.8591}",0.8591,positive
3,30-Jul-18,Heather Gray Fabric ,The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,1,speakers sound pretty good small setup pretty easy bought two reason rate followed instructions synching music units know ive done correctly wont sync primary motivation purchasing multiple units,"{'neg': 0.055, 'neu': 0.618, 'pos': 0.328, 'compound': 0.8797}",0.8797,positive
5,30-Jul-18,Charcoal Fabric ,This device is awesome!,1,device awesome,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
5,30-Jul-18,Charcoal Fabric ,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1,bought compare speaker quality first generation speaker like sound better ship daughter though like fact first generation chargeable base bought keeps mobile needs better sound,"{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.8689}",0.8689,positive
5,30-Jul-18,Sandstone Fabric ,"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.",1,love echo still learning things wasnt able follow instructions included package found great one utube,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.8519}",0.8519,positive
4,30-Jul-18,Heather Gray Fabric ,Speaker is better than 1st generation Echo,1,speaker better st generation echo,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
5,30-Jul-18,Charcoal Fabric ,"This thing is way cool!  You should get one.  If you want to be cool, that is.",1,thing way cool get one want cool,"{'neg': 0.0, 'neu': 0.404, 'pos': 0.596, 'compound': 0.5994}",0.5994,positive
5,30-Jul-18,Heather Gray Fabric ,"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!",1,first digital assistant im giving good review speaker really good cheap price prime day fun play used alarm clock thats going get first place ended echo havent go one definitely try itwhat like best number devices connect purchase came smart plug connect lamp alexa turn lights,"{'neg': 0.072, 'neu': 0.545, 'pos': 0.383, 'compound': 0.958}",0.958,positive
5,30-Jul-18,Charcoal Fabric ,My husband likes being able to use it to listen to music.  I wish we knew all it's capabilities,1,husband likes able use listen music wish knew capabilities,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.6705}",0.6705,positive
5,30-Jul-18,Charcoal Fabric ,"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.",1,android would allow alexa connect fortunately sister apple cell hour tech support fixed glitches running,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.5574}",0.5574,positive
4,30-Jul-18,Charcoal Fabric ,So far so good,1,far good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
5,30-Jul-18,Charcoal Fabric ,Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.,1,tried play certain broadway shows like camelot gives ne group camelot,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.7184}",0.7184,positive
5,30-Jul-18,Sandstone Fabric ,Great,1,great,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,positive
5,30-Jul-18,Walnut Finish ,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,1,satisfied echo alexa controls lights family room wife listen jimmy buffet asking alexa,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",0.4215,positive
2,30-Jul-18,Charcoal Fabric ,"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.",0,like siri fact siri answers accurately alexa dont see real need household though good bargain prime day deals,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.7351}",0.7351,positive
5,30-Jul-18,Charcoal Fabric ,Love my Echo. Still learning how every thing works but having tons of fun.,1,love echo still learning every thing works tons fun,"{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.8176}",0.8176,positive
5,30-Jul-18,Heather Gray Fabric ,I love you so much,1,love much,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,positive
3,30-Jul-18,Charcoal Fabric ,No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account.  So you must pay to play “your” music.  3 stars for that reason.  Everything else is 👍🏻 .,1,different apple play specific list music must amazon spotify plusprimeetc account must pay play music stars reason everything else,"{'neg': 0.061, 'neu': 0.655, 'pos': 0.284, 'compound': 0.6249}",0.6249,positive
5,30-Jul-18,Charcoal Fabric ,"Excelente, lo unico es que no esta en español.",1,excelente lo unico es que esta en español,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Charcoal Fabric ,"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.",1,im still learning use far echo great sound actually much better expecting,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.7906}",0.7906,positive
5,30-Jul-18,Charcoal Fabric ,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,1,works youd expect also good sound quality considering price sale features,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",0.4404,positive
5,30-Jul-18,Charcoal Fabric ,The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.,1,sound echo nd generation phenomenal mention love alexa helpful,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7906}",0.7906,positive
3,30-Jul-18,Sandstone Fabric ,like google better,1,like google better,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}",0.6597,positive
5,30-Jul-18,Charcoal Fabric ,Just had to have it and now lets play and learn how to get the most out of it.,1,lets play learn get,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",0.34,positive
5,30-Jul-18,Charcoal Fabric ,Works as advertised. Very easy to setup. Still learning what this can do.,1,works advertised easy setup still learning,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,positive
4,30-Jul-18,Charcoal Fabric ,Great sound and easy to set up.,1,great sound easy set,"{'neg': 0.0, 'neu': 0.222, 'pos': 0.778, 'compound': 0.7906}",0.7906,positive
5,30-Jul-18,Oak Finish ,"Love Alexa, bought others for friends",1,love alexa bought others friends,"{'neg': 0.0, 'neu': 0.291, 'pos': 0.709, 'compound': 0.8074}",0.8074,positive
5,30-Jul-18,Charcoal Fabric ,Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1,love echo purchased company husband alexa great say name tells joke plays favorite songs,"{'neg': 0.0, 'neu': 0.367, 'pos': 0.633, 'compound': 0.9382}",0.9382,positive
5,30-Jul-18,Heather Gray Fabric ,😍,1,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Charcoal Fabric ,Love being able to listen to music easily. Still learning all the features available,1,love able listen music easily still learning features available,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.765}",0.765,positive
4,30-Jul-18,Heather Gray Fabric ,"Did t really know what I could use this device for. Used it for a few things, but need an overview",1,really know could use device used things need overview,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Heather Gray Fabric ,Love this just wish it had a built in hub,1,love wish built hub,"{'neg': 0.0, 'neu': 0.225, 'pos': 0.775, 'compound': 0.7845}",0.7845,positive
5,30-Jul-18,Charcoal Fabric ,I use it primarily to play music.  It works wonderfully!  Still getting used to some of the many things it will do.  Amazon has sent several tips since I got it. Thanks for all your help!,1,use primarily play music works wonderfully still getting used many things amazon sent several tips since got thanks help,"{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9118}",0.9118,positive
5,30-Jul-18,Charcoal Fabric ,How easy if was to set up.,1,easy set,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
4,30-Jul-18,Charcoal Fabric ,Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.,1,fast response amazing clear concise answers sound quality fantastic still getting used alexia usde echo full extent,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.875}",0.875,positive
5,30-Jul-18,Charcoal Fabric ,You’re all I need...na na nana!,1,youre needna na nana,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Charcoal Fabric ,Does everything as expected and more.,1,everything expected,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Sandstone Fabric ,"I love my Echo!  Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good.",1,love echo works like said would dont smart home speak function everything else good,"{'neg': 0.103, 'neu': 0.457, 'pos': 0.439, 'compound': 0.8096}",0.8096,positive
5,30-Jul-18,Charcoal Fabric ,Great sound in a small package—easy to set up and use; fun to own.,1,great sound small packageeasy set use fun,"{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.8126}",0.8126,positive
5,30-Jul-18,Charcoal Fabric ,Works and sounds great.,1,works sounds great,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,positive
5,30-Jul-18,Heather Gray Fabric ,The sound is amazing and many collections of all music,1,sound amazing many collections music,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.5859}",0.5859,positive
4,30-Jul-18,Sandstone Fabric ,Setting up,1,setting,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Heather Gray Fabric ,She doesn’t always listen,1,doesnt always listen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Charcoal Fabric ,It’s awesome,1,awesome,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,positive
4,30-Jul-18,Heather Gray Fabric ,"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.",1,bought control fios television works well im hoping time control fios discovered things alexa play music ask great sound alexa play games play radio stations play old time radio programs like long ranger alexa many apps add abilities day played madlibs great fun also alexa control household appliances purchased alexa compatible power strips control lighting fans tv components im looking forward implementing controll also add alexa components chosen music play rooms components located,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.9853}",0.9853,positive
5,30-Jul-18,Heather Gray Fabric ,The speaker has excellent sound and works perfectly!,1,speaker excellent sound works perfectly,"{'neg': 0.0, 'neu': 0.275, 'pos': 0.725, 'compound': 0.836}",0.836,positive
5,30-Jul-18,Charcoal Fabric ,I LIKE IT ALL,1,like,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,positive
5,30-Jul-18,Charcoal Fabric ,I love it. It does everything,1,love everything,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,positive
5,30-Jul-18,Heather Gray Fabric ,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,1,little nervous received new echo im really tech savvy found bit intimidating first didnt take long figure im happy purchase thinking adding echo spot,"{'neg': 0.16, 'neu': 0.714, 'pos': 0.126, 'compound': -0.0018}",-0.0018,negative
4,30-Jul-18,Charcoal Fabric ,I like it and still learning how to use it.,1,like still learning use,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,positive
5,30-Jul-18,Charcoal Fabric ,Great technology!! Can't believe the speaker volume and quality is so wonderful. Wish I had bought another one!,1,great technology cant believe speaker volume quality wonderful wish bought another one,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.8885}",0.8885,positive
5,30-Jul-18,Heather Gray Fabric ,"I purchased an echo dot for my husband for Fathers Day.  He uses it constantly and after hearing the quality of sound of the Echo (2nd Generation), It was a no-brainer.  Best gift ever!",1,purchased echo dot husband fathers day uses constantly hearing quality sound echo nd generation nobrainer best gift ever,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.7964}",0.7964,positive
4,30-Jul-18,Charcoal Fabric ,Works fine!!,1,works fine,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.2023}",0.2023,positive
5,30-Jul-18,Heather Gray Fabric , ,1,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
5,30-Jul-18,Charcoal Fabric ,Clear music,1,clear music,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.3818}",0.3818,positive
5,30-Jul-18,Charcoal Fabric ,"Fun to use, good sound quality",1,fun use good sound quality,"{'neg': 0.0, 'neu': 0.326, 'pos': 0.674, 'compound': 0.7351}",0.7351,positive
5,30-Jul-18,Sandstone Fabric ,The echo works well. I was able to sync it with my other Amazon music devices.,1,echo works well able sync amazon music devices,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.4215}",0.4215,positive
5,30-Jul-18,Charcoal Fabric ,"Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo.",1,works great dont think amazon charge another cent unlimited music prime buy echo,"{'neg': 0.091, 'neu': 0.662, 'pos': 0.247, 'compound': 0.5547}",0.5547,positive
5,30-Jul-18,Charcoal Fabric ,Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!,1,already echo dot echo even better fuller sound also setup lets phone calls made contact list great,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.7906}",0.7906,positive
5,30-Jul-18,Charcoal Fabric ,The speaker sounds really good,1,speaker sounds really good,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,positive
5,30-Jul-18,Heather Gray Fabric ,Good sound works well,1,good sound works well,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.6124}",0.6124,positive
5,30-Jul-18,Charcoal Fabric ,Love it and Alexa. I am not very savvy but support was very helpful and patient.,1,love alexa savvy support helpful patient,"{'neg': 0.0, 'neu': 0.236, 'pos': 0.764, 'compound': 0.8658}",0.8658,positive
5,30-Jul-18,Charcoal Fabric ,"Love it! I was thinking about getting one and when the prime day discount was offered, I could not pass it up! It's fun to ask Alexa to play any song or group and she comes up with a playlist from Amazon Prime Music. You can also connect your iPhone with bluetooth and play music with Pandora or YouTube videos using Alexa as a speaker. I've been having fun asking Alexa different types of questions or for information like weather, news or even the time in other countries. The only downside is if you have limited data on your wifi plan, because Alexa uses burns it up when playing music.",1,love thinking getting one prime day discount offered could pass fun ask alexa play song group comes playlist amazon prime music also connect iphone bluetooth play music pandora youtube videos using alexa speaker ive fun asking alexa different types questions information like weather news even time countries downside limited data wifi plan alexa uses burns playing music,"{'neg': 0.054, 'neu': 0.648, 'pos': 0.298, 'compound': 0.9493}",0.9493,positive
5,30-Jul-18,Charcoal Fabric ,"We like it all so far, but have a lot to try out yet.",1,like far lot try yet,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,positive
5,30-Jul-18,Heather Gray Fabric ,Love it - am using it strictly for music now and it's great!,1,love using strictly music great,"{'neg': 0.0, 'neu': 0.265, 'pos': 0.735, 'compound': 0.8519}",0.8519,positive
5,30-Jul-18,Sandstone Fabric ,"Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.",1,love echo love size material speaker quality hooked one light easily work additional lights thermostat next echo dot bedroom lot echo think traffic weather trivia etc,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.8957}",0.8957,positive
4,30-Jul-18,Charcoal Fabric ,Love it!,1,love,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",0.6369,positive
5,30-Jul-18,Charcoal Fabric ,The entire family loves Alexa Echo. She’s now a part of this family.,1,entire family loves alexa echo shes part family,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.5719}",0.5719,positive
5,30-Jul-18,Walnut Finish ,"Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more",1,great fun getting know functions product wow family fun homework help talking grandchildrenwho also echo huge bonus cant wait learn,"{'neg': 0.0, 'neu': 0.361, 'pos': 0.639, 'compound': 0.9719}",0.9719,positive
5,30-Jul-18,Heather Gray Fabric ,Love it!,1,love,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",0.6369,positive
5,30-Jul-18,Heather Gray Fabric ,"awesome thing, love Alexa",1,awesome thing love alexa,"{'neg': 0.0, 'neu': 0.194, 'pos': 0.806, 'compound': 0.8519}",0.8519,positive
5,30-Jul-18,Charcoal Fabric ,It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!,1,worked exactly expected speaker great sound perfect classroom,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.8316}",0.8316,positive
